Tue Jun 22 08:33:43 2021 Epoch 0, lr: 0.0001000, val loss: 141.89873, acc: 49.95000
Tue Jun 22 08:35:08 2021 Epoch 1, lr: 0.0001000, val loss: 103.14720, acc: 64.10000
Tue Jun 22 08:36:33 2021 Epoch 2, lr: 0.0001000, val loss: 86.25157, acc: 69.55000
Tue Jun 22 08:37:59 2021 Epoch 3, lr: 0.0001000, val loss: 87.01742, acc: 70.62000
Tue Jun 22 08:39:25 2021 Epoch 4, lr: 0.0001000, val loss: 78.50961, acc: 73.66000
Tue Jun 22 08:40:51 2021 Epoch 5, lr: 0.0001000, val loss: 66.62247, acc: 77.67000
Tue Jun 22 08:42:17 2021 Epoch 6, lr: 0.0001000, val loss: 70.25488, acc: 76.64000
Tue Jun 22 08:43:43 2021 Epoch 7, lr: 0.0001000, val loss: 63.51315, acc: 79.22000
Tue Jun 22 08:45:09 2021 Epoch 8, lr: 0.0001000, val loss: 58.90219, acc: 80.91000
Tue Jun 22 08:46:35 2021 Epoch 9, lr: 0.0001000, val loss: 54.81053, acc: 82.07000
Tue Jun 22 08:48:01 2021 Epoch 10, lr: 0.0001000, val loss: 52.98931, acc: 81.76000
Tue Jun 22 08:49:27 2021 Epoch 11, lr: 0.0001000, val loss: 52.76849, acc: 82.47000
Tue Jun 22 08:50:54 2021 Epoch 12, lr: 0.0001000, val loss: 50.77768, acc: 83.28000
Tue Jun 22 08:52:20 2021 Epoch 13, lr: 0.0001000, val loss: 48.83089, acc: 83.78000
Tue Jun 22 08:53:46 2021 Epoch 14, lr: 0.0001000, val loss: 49.48003, acc: 83.72000
Tue Jun 22 08:55:12 2021 Epoch 15, lr: 0.0001000, val loss: 44.44809, acc: 85.54000
Tue Jun 22 08:56:39 2021 Epoch 16, lr: 0.0001000, val loss: 45.23763, acc: 85.16000
Tue Jun 22 08:58:05 2021 Epoch 17, lr: 0.0001000, val loss: 41.45813, acc: 86.56000
Tue Jun 22 08:59:32 2021 Epoch 18, lr: 0.0001000, val loss: 42.17551, acc: 86.36000
Tue Jun 22 09:00:57 2021 Epoch 19, lr: 0.0001000, val loss: 42.63607, acc: 86.27000
Tue Jun 22 09:02:23 2021 Epoch 20, lr: 0.0001000, val loss: 43.44210, acc: 86.66000
Tue Jun 22 09:03:48 2021 Epoch 21, lr: 0.0000100, val loss: 41.67974, acc: 86.84000
Tue Jun 22 09:05:15 2021 Epoch 22, lr: 0.0000100, val loss: 32.47667, acc: 89.13000
Tue Jun 22 09:06:41 2021 Epoch 23, lr: 0.0000100, val loss: 32.24724, acc: 89.39000
Tue Jun 22 09:08:06 2021 Epoch 24, lr: 0.0000100, val loss: 32.33723, acc: 89.63000
Tue Jun 22 09:09:33 2021 Epoch 25, lr: 0.0000100, val loss: 32.26764, acc: 89.48000
Tue Jun 22 09:10:59 2021 Epoch 26, lr: 0.0000100, val loss: 32.45273, acc: 89.29000
Tue Jun 22 09:12:26 2021 Epoch 27, lr: 0.0000100, val loss: 31.97724, acc: 89.63000
Tue Jun 22 09:13:53 2021 Epoch 28, lr: 0.0000100, val loss: 32.32610, acc: 89.72000
Tue Jun 22 09:15:19 2021 Epoch 29, lr: 0.0000100, val loss: 32.05306, acc: 89.72000
Tue Jun 22 09:16:45 2021 Epoch 30, lr: 0.0000100, val loss: 33.17191, acc: 89.35000
Tue Jun 22 09:18:12 2021 Epoch 31, lr: 0.0000010, val loss: 32.88065, acc: 89.55000
Tue Jun 22 09:19:39 2021 Epoch 32, lr: 0.0000010, val loss: 31.70440, acc: 89.96000
Tue Jun 22 09:21:05 2021 Epoch 33, lr: 0.0000010, val loss: 31.78438, acc: 89.98000
Tue Jun 22 09:22:31 2021 Epoch 34, lr: 0.0000010, val loss: 31.86312, acc: 89.87000
Tue Jun 22 09:23:58 2021 Epoch 35, lr: 0.0000010, val loss: 32.25113, acc: 89.71000
Tue Jun 22 09:25:24 2021 Epoch 36, lr: 0.0000001, val loss: 32.03636, acc: 89.81000
Tue Jun 22 09:26:51 2021 Epoch 37, lr: 0.0000001, val loss: 31.80301, acc: 89.91000
Tue Jun 22 09:28:18 2021 Epoch 38, lr: 0.0000001, val loss: 31.86517, acc: 89.81000
Tue Jun 22 09:29:44 2021 Epoch 39, lr: 0.0000001, val loss: 32.31188, acc: 89.76000
