Tue Jun 22 02:47:18 2021 Epoch 0, lr: 0.0001000, val loss: 119.67877, acc: 57.63000
Tue Jun 22 02:49:08 2021 Epoch 1, lr: 0.0001000, val loss: 99.84075, acc: 65.57000
Tue Jun 22 02:50:58 2021 Epoch 2, lr: 0.0001000, val loss: 82.06214, acc: 71.93000
Tue Jun 22 02:52:48 2021 Epoch 3, lr: 0.0001000, val loss: 72.30986, acc: 75.71000
Tue Jun 22 02:54:38 2021 Epoch 4, lr: 0.0001000, val loss: 58.25554, acc: 79.81000
Tue Jun 22 02:56:28 2021 Epoch 5, lr: 0.0001000, val loss: 50.05373, acc: 83.46000
Tue Jun 22 02:58:18 2021 Epoch 6, lr: 0.0001000, val loss: 51.28685, acc: 82.63000
Tue Jun 22 03:00:08 2021 Epoch 7, lr: 0.0001000, val loss: 53.71870, acc: 82.10000
Tue Jun 22 03:01:58 2021 Epoch 8, lr: 0.0001000, val loss: 63.60376, acc: 80.21000
Tue Jun 22 03:03:48 2021 Epoch 9, lr: 0.0001000, val loss: 44.64839, acc: 85.03000
Tue Jun 22 03:05:37 2021 Epoch 10, lr: 0.0001000, val loss: 49.42492, acc: 84.32000
Tue Jun 22 03:07:27 2021 Epoch 11, lr: 0.0001000, val loss: 38.05534, acc: 87.62000
Tue Jun 22 03:09:17 2021 Epoch 12, lr: 0.0001000, val loss: 37.55875, acc: 87.29000
Tue Jun 22 03:11:07 2021 Epoch 13, lr: 0.0001000, val loss: 36.31293, acc: 88.82000
Tue Jun 22 03:12:57 2021 Epoch 14, lr: 0.0001000, val loss: 39.05104, acc: 87.43000
Tue Jun 22 03:14:48 2021 Epoch 15, lr: 0.0001000, val loss: 39.38004, acc: 87.80000
Tue Jun 22 03:16:37 2021 Epoch 16, lr: 0.0001000, val loss: 38.54220, acc: 87.97000
Tue Jun 22 03:18:27 2021 Epoch 17, lr: 0.0000100, val loss: 37.36181, acc: 87.89000
Tue Jun 22 03:20:18 2021 Epoch 18, lr: 0.0000100, val loss: 26.58877, acc: 91.41000
Tue Jun 22 03:22:07 2021 Epoch 19, lr: 0.0000100, val loss: 27.19727, acc: 91.45000
Tue Jun 22 03:23:57 2021 Epoch 20, lr: 0.0000100, val loss: 27.01710, acc: 91.44000
Tue Jun 22 03:25:47 2021 Epoch 21, lr: 0.0000100, val loss: 26.48081, acc: 91.64000
Tue Jun 22 03:27:37 2021 Epoch 22, lr: 0.0000100, val loss: 27.15567, acc: 91.60000
Tue Jun 22 03:29:27 2021 Epoch 23, lr: 0.0000100, val loss: 27.43692, acc: 91.73000
Tue Jun 22 03:31:16 2021 Epoch 24, lr: 0.0000100, val loss: 27.18352, acc: 91.76000
Tue Jun 22 03:33:05 2021 Epoch 25, lr: 0.0000010, val loss: 28.07590, acc: 91.77000
Tue Jun 22 03:34:56 2021 Epoch 26, lr: 0.0000010, val loss: 27.49421, acc: 91.97000
Tue Jun 22 03:36:47 2021 Epoch 27, lr: 0.0000010, val loss: 27.32143, acc: 92.03000
Tue Jun 22 03:38:37 2021 Epoch 28, lr: 0.0000010, val loss: 27.50930, acc: 91.95000
Tue Jun 22 03:40:28 2021 Epoch 29, lr: 0.0000001, val loss: 27.13971, acc: 92.00000
Tue Jun 22 03:42:18 2021 Epoch 30, lr: 0.0000001, val loss: 26.97229, acc: 92.19000
Tue Jun 22 03:44:08 2021 Epoch 31, lr: 0.0000001, val loss: 27.54695, acc: 91.92000
Tue Jun 22 03:45:58 2021 Epoch 32, lr: 0.0000001, val loss: 26.83579, acc: 92.10000
Tue Jun 22 03:47:49 2021 Epoch 33, lr: 0.0000000, val loss: 27.69061, acc: 92.03000
Tue Jun 22 03:49:40 2021 Epoch 34, lr: 0.0000000, val loss: 27.69411, acc: 91.86000
Tue Jun 22 03:51:30 2021 Epoch 35, lr: 0.0000000, val loss: 27.39951, acc: 91.99000
Tue Jun 22 03:53:21 2021 Epoch 36, lr: 0.0000000, val loss: 27.40736, acc: 91.97000
Tue Jun 22 03:55:11 2021 Epoch 37, lr: 0.0000000, val loss: 27.50540, acc: 91.92000
Tue Jun 22 03:57:01 2021 Epoch 38, lr: 0.0000000, val loss: 27.88255, acc: 92.07000
Tue Jun 22 03:58:52 2021 Epoch 39, lr: 0.0000000, val loss: 27.34487, acc: 92.20000
Tue Jun 22 04:00:42 2021 Epoch 40, lr: 0.0000000, val loss: 27.37135, acc: 91.92000
Tue Jun 22 04:02:32 2021 Epoch 41, lr: 0.0000000, val loss: 27.83316, acc: 91.98000
Tue Jun 22 04:04:22 2021 Epoch 42, lr: 0.0000000, val loss: 27.37927, acc: 92.01000
Tue Jun 22 04:06:13 2021 Epoch 43, lr: 0.0000000, val loss: 27.55617, acc: 92.04000
Tue Jun 22 04:08:04 2021 Epoch 44, lr: 0.0000000, val loss: 27.29081, acc: 92.11000
Tue Jun 22 04:09:53 2021 Epoch 45, lr: 0.0000000, val loss: 27.94417, acc: 91.80000
Tue Jun 22 04:11:45 2021 Epoch 46, lr: 0.0000000, val loss: 27.64621, acc: 91.99000
Tue Jun 22 04:13:36 2021 Epoch 47, lr: 0.0000000, val loss: 27.39189, acc: 92.01000
Tue Jun 22 04:15:27 2021 Epoch 48, lr: 0.0000000, val loss: 27.53224, acc: 91.91000
Tue Jun 22 04:17:17 2021 Epoch 49, lr: 0.0000000, val loss: 27.99633, acc: 91.93000
Tue Jun 22 04:19:08 2021 Epoch 50, lr: 0.0000000, val loss: 27.18485, acc: 91.95000
Tue Jun 22 04:20:59 2021 Epoch 51, lr: 0.0000000, val loss: 27.36948, acc: 91.93000
Tue Jun 22 04:22:49 2021 Epoch 52, lr: 0.0000000, val loss: 26.60568, acc: 92.20000
Tue Jun 22 04:24:39 2021 Epoch 53, lr: 0.0000000, val loss: 27.31758, acc: 92.05000
Tue Jun 22 04:26:29 2021 Epoch 54, lr: 0.0000000, val loss: 27.86194, acc: 91.93000
Tue Jun 22 04:28:18 2021 Epoch 55, lr: 0.0000000, val loss: 27.09731, acc: 92.07000
Tue Jun 22 04:30:09 2021 Epoch 56, lr: 0.0000000, val loss: 27.01040, acc: 92.11000
Tue Jun 22 04:31:58 2021 Epoch 57, lr: 0.0000000, val loss: 27.12135, acc: 92.02000
Tue Jun 22 04:33:48 2021 Epoch 58, lr: 0.0000000, val loss: 27.15979, acc: 91.93000
Tue Jun 22 04:35:39 2021 Epoch 59, lr: 0.0000000, val loss: 27.20030, acc: 91.94000
Tue Jun 22 04:37:28 2021 Epoch 60, lr: 0.0000000, val loss: 27.69891, acc: 91.89000
Tue Jun 22 04:39:18 2021 Epoch 61, lr: 0.0000000, val loss: 27.95191, acc: 92.09000
Tue Jun 22 04:41:09 2021 Epoch 62, lr: 0.0000000, val loss: 27.71369, acc: 91.96000
Tue Jun 22 04:42:59 2021 Epoch 63, lr: 0.0000000, val loss: 27.86249, acc: 92.12000
Tue Jun 22 04:44:50 2021 Epoch 64, lr: 0.0000000, val loss: 27.63587, acc: 91.98000
Tue Jun 22 04:46:39 2021 Epoch 65, lr: 0.0000000, val loss: 27.40563, acc: 91.89000
Tue Jun 22 04:48:29 2021 Epoch 66, lr: 0.0000000, val loss: 27.34118, acc: 91.91000
Tue Jun 22 04:50:20 2021 Epoch 67, lr: 0.0000000, val loss: 27.38950, acc: 92.00000
Tue Jun 22 04:52:10 2021 Epoch 68, lr: 0.0000000, val loss: 27.40743, acc: 91.95000
