Sat Jun 19 08:27:36 2021 Epoch 1, lr: 0.0001000, val loss: 116.43002, acc: 57.79000
Sat Jun 19 08:29:05 2021 Epoch 2, lr: 0.0001000, val loss: 111.36627, acc: 60.98000
Sat Jun 19 08:30:33 2021 Epoch 3, lr: 0.0001000, val loss: 103.93196, acc: 63.03000
Sat Jun 19 08:32:01 2021 Epoch 4, lr: 0.0001000, val loss: 99.93419, acc: 64.86000
Sat Jun 19 08:33:29 2021 Epoch 5, lr: 0.0001000, val loss: 93.36167, acc: 66.48000
Sat Jun 19 08:34:57 2021 Epoch 6, lr: 0.0001000, val loss: 87.49373, acc: 68.60000
Sat Jun 19 08:36:25 2021 Epoch 7, lr: 0.0001000, val loss: 86.15060, acc: 68.92000
Sat Jun 19 08:37:53 2021 Epoch 8, lr: 0.0001000, val loss: 82.95524, acc: 70.74000
Sat Jun 19 08:39:20 2021 Epoch 9, lr: 0.0001000, val loss: 80.45730, acc: 71.47000
Sat Jun 19 08:40:49 2021 Epoch 10, lr: 0.0001000, val loss: 78.77587, acc: 72.33000
Sat Jun 19 08:42:16 2021 Epoch 11, lr: 0.0001000, val loss: 78.56732, acc: 72.41000
Sat Jun 19 08:43:44 2021 Epoch 12, lr: 0.0001000, val loss: 74.93741, acc: 73.97000
Sat Jun 19 08:45:12 2021 Epoch 13, lr: 0.0001000, val loss: 75.07990, acc: 74.07000
Sat Jun 19 08:46:40 2021 Epoch 14, lr: 0.0001000, val loss: 72.45538, acc: 74.15000
Sat Jun 19 08:48:07 2021 Epoch 15, lr: 0.0001000, val loss: 67.91619, acc: 76.17000
Sat Jun 19 08:49:35 2021 Epoch 16, lr: 0.0001000, val loss: 70.03681, acc: 76.25000
Sat Jun 19 08:51:04 2021 Epoch 17, lr: 0.0001000, val loss: 67.14315, acc: 77.37000
Sat Jun 19 08:52:32 2021 Epoch 18, lr: 0.0001000, val loss: 65.35258, acc: 77.51000
Sat Jun 19 08:53:58 2021 Epoch 19, lr: 0.0001000, val loss: 65.03736, acc: 77.85000
Sat Jun 19 08:55:25 2021 Epoch 20, lr: 0.0001000, val loss: 63.62009, acc: 77.77000
Sat Jun 19 08:56:53 2021 Epoch 21, lr: 0.0001000, val loss: 62.96266, acc: 78.25000
Sat Jun 19 08:58:21 2021 Epoch 22, lr: 0.0001000, val loss: 62.65939, acc: 78.64000
Sat Jun 19 08:59:49 2021 Epoch 23, lr: 0.0001000, val loss: 59.58013, acc: 79.68000
Sat Jun 19 09:01:17 2021 Epoch 24, lr: 0.0001000, val loss: 59.86677, acc: 79.49000
Sat Jun 19 09:02:46 2021 Epoch 25, lr: 0.0001000, val loss: 58.98970, acc: 79.60000
Sat Jun 19 09:04:14 2021 Epoch 26, lr: 0.0001000, val loss: 59.20773, acc: 79.93000
Sat Jun 19 09:05:43 2021 Epoch 27, lr: 0.0001000, val loss: 57.29975, acc: 80.26000
Sat Jun 19 09:07:11 2021 Epoch 28, lr: 0.0001000, val loss: 57.37149, acc: 80.50000
Sat Jun 19 09:08:39 2021 Epoch 29, lr: 0.0001000, val loss: 60.01539, acc: 80.05000
Sat Jun 19 09:10:07 2021 Epoch 30, lr: 0.0001000, val loss: 59.02013, acc: 80.13000
Sat Jun 19 09:11:35 2021 Epoch 31, lr: 0.0000100, val loss: 57.52836, acc: 81.11000
Sat Jun 19 09:13:04 2021 Epoch 32, lr: 0.0000100, val loss: 53.45213, acc: 82.60000
Sat Jun 19 09:14:33 2021 Epoch 33, lr: 0.0000100, val loss: 53.19830, acc: 82.92000
Sat Jun 19 09:15:59 2021 Epoch 34, lr: 0.0000100, val loss: 53.04453, acc: 82.98000
Sat Jun 19 09:17:12 2021 Epoch 0, lr: 0.0001000, val loss: 134.17635, acc: 50.29000
Sat Jun 19 09:17:27 2021 Epoch 35, lr: 0.0000100, val loss: 53.59390, acc: 82.87000
Sat Jun 19 09:18:35 2021 Epoch 1, lr: 0.0001000, val loss: 106.98954, acc: 61.56000
Sat Jun 19 09:18:54 2021 Epoch 36, lr: 0.0000100, val loss: 52.85224, acc: 83.24000
Sat Jun 19 09:19:57 2021 Epoch 2, lr: 0.0001000, val loss: 92.63469, acc: 67.06000
Sat Jun 19 09:20:21 2021 Epoch 37, lr: 0.0000100, val loss: 53.98648, acc: 82.91000
Sat Jun 19 09:21:20 2021 Epoch 3, lr: 0.0001000, val loss: 85.21058, acc: 69.89000
Sat Jun 19 09:21:49 2021 Epoch 38, lr: 0.0000100, val loss: 53.39067, acc: 83.31000
Sat Jun 19 09:22:44 2021 Epoch 4, lr: 0.0001000, val loss: 75.60612, acc: 73.16000
Sat Jun 19 09:23:16 2021 Epoch 39, lr: 0.0000100, val loss: 53.81058, acc: 83.09000
Sat Jun 19 09:24:06 2021 Epoch 5, lr: 0.0001000, val loss: 74.59715, acc: 73.87000
Sat Jun 19 09:24:44 2021 Epoch 40, lr: 0.0000010, val loss: 53.67310, acc: 83.23000
Sat Jun 19 09:25:29 2021 Epoch 6, lr: 0.0001000, val loss: 73.14597, acc: 74.72000
Sat Jun 19 09:26:12 2021 Epoch 41, lr: 0.0000010, val loss: 53.15740, acc: 83.24000
Sat Jun 19 09:26:53 2021 Epoch 7, lr: 0.0001000, val loss: 66.43796, acc: 76.49000
Sat Jun 19 09:27:39 2021 Epoch 42, lr: 0.0000010, val loss: 53.42217, acc: 83.27000
Sat Jun 19 09:28:16 2021 Epoch 8, lr: 0.0001000, val loss: 63.51695, acc: 77.65000
Sat Jun 19 09:29:07 2021 Epoch 43, lr: 0.0000010, val loss: 53.69350, acc: 83.23000
Sat Jun 19 09:29:39 2021 Epoch 9, lr: 0.0001000, val loss: 65.57842, acc: 78.13000
Sat Jun 19 09:30:34 2021 Epoch 44, lr: 0.0000001, val loss: 53.45147, acc: 83.29000
Sat Jun 19 09:31:02 2021 Epoch 10, lr: 0.0001000, val loss: 55.80974, acc: 80.43000
Sat Jun 19 09:32:02 2021 Epoch 45, lr: 0.0000001, val loss: 53.47791, acc: 83.24000
Sat Jun 19 09:32:25 2021 Epoch 11, lr: 0.0001000, val loss: 56.83508, acc: 81.00000
Sat Jun 19 09:33:29 2021 Epoch 46, lr: 0.0000001, val loss: 53.17555, acc: 83.25000
Sat Jun 19 09:33:48 2021 Epoch 12, lr: 0.0001000, val loss: 53.70499, acc: 82.02000
Sat Jun 19 09:34:57 2021 Epoch 47, lr: 0.0000001, val loss: 53.24322, acc: 83.28000
Sat Jun 19 09:35:12 2021 Epoch 13, lr: 0.0001000, val loss: 54.79318, acc: 81.66000
Sat Jun 19 09:36:24 2021 Epoch 48, lr: 0.0000000, val loss: 53.41953, acc: 83.26000
Sat Jun 19 09:36:35 2021 Epoch 14, lr: 0.0001000, val loss: 52.74898, acc: 82.27000
Sat Jun 19 09:37:52 2021 Epoch 49, lr: 0.0000000, val loss: 53.19792, acc: 83.26000
Sat Jun 19 09:37:59 2021 Epoch 15, lr: 0.0001000, val loss: 53.02975, acc: 82.18000
Sat Jun 19 09:39:19 2021 Epoch 50, lr: 0.0000000, val loss: 53.41590, acc: 83.27000
Sat Jun 19 09:39:22 2021 Epoch 16, lr: 0.0001000, val loss: 53.27561, acc: 82.70000
Sat Jun 19 09:40:47 2021 Epoch 17, lr: 0.0001000, val loss: 52.46484, acc: 82.22000
Sat Jun 19 09:40:47 2021 Epoch 51, lr: 0.0000000, val loss: 53.32134, acc: 83.23000
Sat Jun 19 09:42:11 2021 Epoch 18, lr: 0.0001000, val loss: 49.24508, acc: 83.74000
Sat Jun 19 09:42:15 2021 Epoch 52, lr: 0.0000000, val loss: 53.38583, acc: 83.24000
Sat Jun 19 09:43:35 2021 Epoch 19, lr: 0.0001000, val loss: 48.60296, acc: 83.36000
Sat Jun 19 09:43:43 2021 Epoch 53, lr: 0.0000000, val loss: 53.28780, acc: 83.29000
Sat Jun 19 09:44:58 2021 Epoch 20, lr: 0.0001000, val loss: 48.09629, acc: 83.91000
Sat Jun 19 09:45:10 2021 Epoch 54, lr: 0.0000000, val loss: 53.42311, acc: 83.37000
Sat Jun 19 09:46:22 2021 Epoch 21, lr: 0.0001000, val loss: 49.87791, acc: 83.92000
Sat Jun 19 09:46:39 2021 Epoch 55, lr: 0.0000000, val loss: 53.45280, acc: 83.35000
Sat Jun 19 09:47:45 2021 Epoch 22, lr: 0.0001000, val loss: 46.96276, acc: 84.87000
Sat Jun 19 09:48:07 2021 Epoch 56, lr: 0.0000000, val loss: 53.40836, acc: 83.36000
Sat Jun 19 09:49:08 2021 Epoch 23, lr: 0.0001000, val loss: 47.63041, acc: 84.71000
Sat Jun 19 09:49:35 2021 Epoch 57, lr: 0.0000000, val loss: 53.36613, acc: 83.32000
Sat Jun 19 09:50:32 2021 Epoch 24, lr: 0.0001000, val loss: 46.16611, acc: 84.67000
Sat Jun 19 09:51:03 2021 Epoch 58, lr: 0.0000000, val loss: 53.22136, acc: 83.36000
Sat Jun 19 09:51:55 2021 Epoch 25, lr: 0.0001000, val loss: 45.17529, acc: 85.40000
Sat Jun 19 09:52:30 2021 Epoch 59, lr: 0.0000000, val loss: 53.64014, acc: 83.23000
Sat Jun 19 09:53:18 2021 Epoch 26, lr: 0.0001000, val loss: 45.36249, acc: 85.25000
Sat Jun 19 09:53:57 2021 Epoch 60, lr: 0.0000000, val loss: 53.54948, acc: 83.36000
Sat Jun 19 09:54:42 2021 Epoch 27, lr: 0.0001000, val loss: 45.49237, acc: 85.31000
Sat Jun 19 09:55:26 2021 Epoch 61, lr: 0.0000000, val loss: 53.45766, acc: 83.38000
Sat Jun 19 09:56:06 2021 Epoch 28, lr: 0.0001000, val loss: 44.04509, acc: 86.10000
Sat Jun 19 09:56:53 2021 Epoch 62, lr: 0.0000000, val loss: 53.43633, acc: 83.29000
Sat Jun 19 09:57:30 2021 Epoch 29, lr: 0.0001000, val loss: 44.96418, acc: 85.74000
Sat Jun 19 09:58:21 2021 Epoch 63, lr: 0.0000000, val loss: 53.35327, acc: 83.34000
Sat Jun 19 09:58:53 2021 Epoch 30, lr: 0.0001000, val loss: 45.97836, acc: 85.86000
Sat Jun 19 09:59:48 2021 Epoch 64, lr: 0.0000000, val loss: 53.65957, acc: 83.16000
Sat Jun 19 10:00:16 2021 Epoch 31, lr: 0.0001000, val loss: 44.20335, acc: 86.04000
Sat Jun 19 10:01:16 2021 Epoch 65, lr: 0.0000000, val loss: 53.55735, acc: 83.23000
Sat Jun 19 10:01:40 2021 Epoch 32, lr: 0.0000100, val loss: 45.52329, acc: 86.34000
Sat Jun 19 10:02:43 2021 Epoch 66, lr: 0.0000000, val loss: 53.56723, acc: 83.20000
Sat Jun 19 10:03:03 2021 Epoch 33, lr: 0.0000100, val loss: 40.09304, acc: 87.88000
Sat Jun 19 10:04:11 2021 Epoch 67, lr: 0.0000000, val loss: 53.65642, acc: 83.19000
Sat Jun 19 10:04:27 2021 Epoch 34, lr: 0.0000100, val loss: 39.94456, acc: 88.33000
Sat Jun 19 10:05:38 2021 Epoch 68, lr: 0.0000000, val loss: 53.38358, acc: 83.25000
Sat Jun 19 10:05:49 2021 Epoch 35, lr: 0.0000100, val loss: 39.75414, acc: 88.44000
Sat Jun 19 10:07:07 2021 Epoch 69, lr: 0.0000000, val loss: 53.57926, acc: 83.35000
Sat Jun 19 10:07:12 2021 Epoch 36, lr: 0.0000100, val loss: 39.84739, acc: 88.24000
Sat Jun 19 10:08:38 2021 Epoch 37, lr: 0.0000100, val loss: 40.18895, acc: 88.45000
Sat Jun 19 10:08:38 2021 Epoch 70, lr: 0.0000000, val loss: 53.31058, acc: 83.39000
Sat Jun 19 10:10:08 2021 Epoch 38, lr: 0.0000100, val loss: 40.78668, acc: 88.45000
Sat Jun 19 10:10:22 2021 Epoch 71, lr: 0.0000000, val loss: 53.16459, acc: 83.24000
Sat Jun 19 10:11:37 2021 Epoch 39, lr: 0.0000010, val loss: 41.14074, acc: 88.17000
Sat Jun 19 10:12:05 2021 Epoch 72, lr: 0.0000000, val loss: 53.38072, acc: 83.29000
Sat Jun 19 10:13:07 2021 Epoch 40, lr: 0.0000010, val loss: 40.71665, acc: 88.29000
Sat Jun 19 10:13:46 2021 Epoch 73, lr: 0.0000000, val loss: 53.27273, acc: 83.45000
Sat Jun 19 10:14:36 2021 Epoch 41, lr: 0.0000010, val loss: 40.40177, acc: 88.61000
Sat Jun 19 10:15:27 2021 Epoch 74, lr: 0.0000000, val loss: 53.29196, acc: 83.39000
Sat Jun 19 10:16:07 2021 Epoch 42, lr: 0.0000010, val loss: 40.89915, acc: 88.43000
Sat Jun 19 10:17:08 2021 Epoch 75, lr: 0.0000000, val loss: 53.46891, acc: 83.26000
Sat Jun 19 10:17:38 2021 Epoch 43, lr: 0.0000001, val loss: 40.89977, acc: 88.28000
Sat Jun 19 10:18:49 2021 Epoch 76, lr: 0.0000000, val loss: 53.33353, acc: 83.42000
Sat Jun 19 10:19:08 2021 Epoch 44, lr: 0.0000001, val loss: 40.79251, acc: 88.35000
Sat Jun 19 10:20:31 2021 Epoch 77, lr: 0.0000000, val loss: 53.38533, acc: 83.21000
Sat Jun 19 10:20:38 2021 Epoch 45, lr: 0.0000001, val loss: 40.60012, acc: 88.53000
Sat Jun 19 10:22:08 2021 Epoch 46, lr: 0.0000001, val loss: 40.82059, acc: 88.36000
Sat Jun 19 10:22:10 2021 Epoch 78, lr: 0.0000000, val loss: 53.69203, acc: 83.33000
